Eukaryota;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Scherffelia;Scherffelia dubia;  :  3910.0
Eukaryota;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Tetraselmis;Tetraselmis chuii;  :  512.0
Eukaryota;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Tetraselmis;Tetraselmis indica;  :  507.0
Eukaryota;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Tetraselmis;Tetraselmis striata;  :  56.0
Eukaryota;Chlorophyta;Chlorophyceae;Chaetophorales;Chaetophoraceae;Coccobotrys;Coccobotrys verrucariae;  :  2142.0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas eustigma;  :  159859.0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas incerta;  :  39.0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas sp. ICE-L;  :  3497.0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas sp. W80;  :  534.0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Polytomella;Polytomella parva;  :  194.0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Polytomella;Polytomella sp. Pringsheim 198.80;  :  4329.0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Dunaliellaceae;Dunaliella;Dunaliella salina;  :  2270.0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Dunaliellaceae;Dunaliella;Dunaliella viridis;  :  724.0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Haematococcaceae;Haematococcus;Haematococcus lacustris;  :  1018.0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Spondylomoraceae;Pyrobotrys;Pyrobotrys stellata;  :  605.0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Tetrabaenaceae;Tetrabaena;Tetrabaena socialis;  :  41718.0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Volvocaceae;Gonium;Gonium pectorale;  :  46986.0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Volvocaceae;Volvox;Volvox carteri;  :  65620.0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Volvocaceae;Yamagishiella;Yamagishiella unicocca;  :  264.0
Eukaryota;Chlorophyta;Chlorophyceae;Sphaeropleales;Chromochloridaceae;Chromochloris;Chromochloris zofingiensis;  :  15.0
Eukaryota;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Scenedesmus;[Chlorella] fusca;  :  13.0
Eukaryota;Chlorophyta;Chlorophyceae;Sphaeropleales;Selenastraceae;Messastrum;Messastrum gracile;  :  1776.0
Eukaryota;Chlorophyta;Chlorophyceae;Sphaeropleales;Selenastraceae;Monoraphidium;Monoraphidium neglectum;  :  131738.0
Eukaryota;Chlorophyta;Mamiellophyceae;Dolichomastigales;Crustomastigaceae;Crustomastix;Crustomastix stigmatica;  :  6633.0
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus 'lucimarinus';  :  51820.0
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus tauri;  :  52406.0
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Mantoniella;Mantoniella squamata;  :  3457.0
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas commoda;  :  134239.0
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla;  :  92583.0
Eukaryota;Chlorophyta;Mamiellophyceae;Monomastigales;Monomastigaceae;Monomastix;Monomastix opisthostigma;  :  23.0
Eukaryota;Chlorophyta;NA;NA;NA;Picocystis;Picocystis salinarum;  :  6591.0
Eukaryota;Chlorophyta;NA;NA;Pycnococcaceae;Pseudoscourfieldia;Pseudoscourfieldia marina;  :  658.0
Eukaryota;Chlorophyta;NA;Pyramimonadales;NA;Pterosperma;Pterosperma cristatum;  :  7021.0
Eukaryota;Chlorophyta;NA;Pyramimonadales;NA;Pyramimonas;Pyramimonas parkeae;  :  757.0
Eukaryota;Chlorophyta;Nephroselmidophyceae;NA;NA;Nephroselmis;Nephroselmis olivacea;  :  477.0
Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Auxenochlorella;Auxenochlorella pyrenoidosa;  :  1430.0
Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella sp. 'desiccata';  :  335.0
Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella variabilis;  :  171328.0
Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Helicosporidium;Helicosporidium sp. ATCC 50920;  :  77675.0
Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Helicosporidium;Helicosporidium sp. ex Simulium jonesi;  :  144.0
Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Nannochloris;Nannochloris bacillaris;  :  27.0
Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Prototheca;Prototheca wickerhamii;  :  1305.0
Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Pseudochlorella;Pseudochlorella pringsheimii;  :  949.0
Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;NA;Parachlorella;Parachlorella kessleri;  :  4651.0
Eukaryota;Chlorophyta;Trebouxiophyceae;NA;Coccomyxaceae;Coccomyxa;Coccomyxa subellipsoidea;  :  312664.0
Eukaryota;Chlorophyta;Trebouxiophyceae;NA;NA;Dictyosphaerium;Dictyosphaerium ehrenbergianum;  :  3497.0
Eukaryota;Chlorophyta;Ulvophyceae;Dasycladales;Polyphysaceae;Acetabularia;Acetabularia acetabulum;  :  2082.0
Eukaryota;Chlorophyta;Ulvophyceae;Dasycladales;Polyphysaceae;Acetabularia;Acetabularia peniculus;  :  436.0
Eukaryota;Chlorophyta;Ulvophyceae;Ignatiales;NA;Ignatius;Ignatius tetrasporus;  :  221.0
Eukaryota;Chlorophyta;Ulvophyceae;NA;NA;Oltmannsiellopsis;Oltmannsiellopsis viridis;  :  1457.0
Eukaryota;Chlorophyta;Ulvophyceae;Scotinosphaerales;Scotinosphaeraceae;Scotinosphaera;Scotinosphaera sp. CAUP H5307;  :  310.0
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva compressa;  :  1198.0
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva linza;  :  4277.0
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva sp. SAP114778;  :  2077.0
